title,rating,quote,info
低俗小说,8.9,,1994 / 美国 / 剧情 喜剧 犯罪
超脱,9.0,,2011 / 美国 / 剧情
哈利·波特与密室,8.9,,2002 / 英国 美国 / 奇幻 冒险
摩登时代,9.3,,1936 / 美国 / 剧情 喜剧 爱情
喜剧之王,8.8,,1999 / 中国香港 / 喜剧 剧情 爱情
杀人回忆,8.9,,2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
致命ID,8.9,,2003 / 美国 / 剧情 悬疑 惊悚
春光乍泄,9.0,,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
海豚湾,9.3,,2009 / 美国 / 纪录片
一一,9.1,,2000 / 中国台湾 日本 / 剧情 爱情 家庭
美国往事,9.1,,1984 / 美国 意大利 / 犯罪 剧情
加勒比海盗,8.8,,2003 / 美国 / 动作 冒险 奇幻
红辣椒,9.0,,2006 / 日本 / 动画 悬疑 科幻 惊悚
七宗罪,8.8,,1995 / 美国 / 剧情 犯罪 悬疑 惊悚
唐伯虎点秋香,8.7,,1993 / 中国香港 / 喜剧 爱情 古装
狩猎,9.1,,2012 / 丹麦 瑞典 / 剧情
还有明天,9.4,,2023 / 意大利 / 剧情 喜剧 历史
甜蜜蜜,8.9,,1996 / 中国香港 / 剧情 爱情
7号房的礼物,8.9,,2013 / 韩国 / 剧情 喜剧 家庭
蝙蝠侠：黑暗骑士崛起,8.9,,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
幽灵公主,8.9,,1997 / 日本 / 动画 奇幻 冒险
寄生虫,8.8,,2019 / 韩国 / 剧情
天书奇谭,9.2,,1983(中国大陆) / 2021 / 中国大陆 / 动画 奇幻
超能陆战队,8.8,,2014 / 美国 / 喜剧 动作 科幻 动画 冒险
爱在黎明破晓前,8.8,,1995 / 美国 奥地利 瑞士 / 剧情 爱情
被嫌弃的松子的一生,8.8,,2006 / 日本 / 剧情 歌舞
第六感,8.9,,1999 / 美国 / 剧情 悬疑 惊悚
爱在日落黄昏时,8.9,,2004 / 美国 法国 / 剧情 爱情
重庆森林,8.8,,1994 / 中国香港 / 剧情 爱情
入殓师,8.9,,2008 / 日本 / 剧情
剪刀手爱德华,8.7,,1990 / 美国 / 剧情 爱情 奇幻
断背山,8.8,,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
菊次郎的夏天,8.9,,1999 / 日本 / 剧情 喜剧
勇敢的心,8.9,,1995 / 美国 / 动作 传记 剧情 历史 战争
未麻的部屋,9.1,,1997 / 日本 / 剧情 犯罪 动画 悬疑 惊悚
哈利·波特与火焰杯,8.8,,2005 / 英国 美国 / 悬疑 奇幻 冒险
借东西的小人阿莉埃蒂,8.9,,2010 / 日本 / 动画 奇幻 冒险
茶馆,9.6,,1982(中国大陆) / 中国大陆 / 剧情 历史
头脑特工队,8.8,,2015 / 美国 / 喜剧 动画 冒险
时空恋旅人,8.8,,2013 / 英国 美国 / 喜剧 爱情 奇幻
消失的爱人,8.7,,2014 / 美国 / 剧情 犯罪 悬疑 惊悚
无人知晓,9.1,,2004 / 日本 / 剧情
倩女幽魂,8.8,,1987 / 中国香港 / 爱情 奇幻 武侠 古装
完美的世界,9.1,,1993 / 美国 / 剧情 犯罪
阳光灿烂的日子,8.8,,1994 / 中国大陆 中国香港 / 剧情 爱情
花样年华,8.8,,2000 / 中国香港 / 剧情 爱情
小森林 夏秋篇,9.0,,2014 / 日本 / 剧情
驯龙高手,8.8,,2010 / 美国 / 动画 奇幻 冒险
天使爱美丽,8.7,,2001 / 法国 德国 / 剧情 喜剧 爱情
新世界,8.9,,2013 / 韩国 / 剧情 犯罪
傲慢与偏见,8.7,,2005 / 法国 英国 美国 / 剧情 爱情
侧耳倾听,8.9,,1995 / 日本 / 剧情 爱情 动画
一个叫欧维的男人决定去死,8.9,,2015 / 瑞典 / 剧情
怪兽电力公司,8.8,,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险
玩具总动员3,8.9,,2010 / 美国 / 喜剧 动画 奇幻 冒险
请以你的名字呼唤我,8.8,,2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性
教父3,9.0,,1990 / 美国 / 剧情 犯罪
幸福终点站,8.8,,2004 / 美国 / 喜剧 剧情 爱情
色，戒,8.7,,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色
哪吒闹海,9.2,,1979 / 中国大陆 / 冒险 动画 奇幻
被解救的姜戈,8.8,,2012 / 美国 / 剧情 动作 西部 冒险
小森林 冬春篇,9.0,,2015 / 日本 / 剧情
九品芝麻官,8.8,,1994 / 中国香港 / 剧情 喜剧 古装
釜山行,8.6,,2016 / 韩国 / 动作 惊悚 灾难
神偷奶爸,8.7,,2010 / 美国 法国 / 喜剧 动画 冒险
萤火之森,8.8,,2011 / 日本 / 剧情 爱情 动画 奇幻
喜宴,9.0,,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭
告白,8.8,,2010 / 日本 / 剧情 悬疑
玛丽和马克思,9.0,,2009 / 澳大利亚 美国 / 剧情 喜剧 动画
头号玩家,8.6,,2018 / 美国 / 动作 科幻 冒险
模仿游戏,8.8,,2014 / 英国 美国 / 剧情 传记 战争 同性
